latitude,longitude,photo,title,datetime
37.775094,-122.410075,http://farm5.static.flickr.com/4083/5030709649_0c3899fa2a_m.jpg,This is faery, instead of Trans because it plays up my Male attributes and fuses them with Feminine sex-kitten fashion,2010-09-26 11:54:55
37.775094,-122.410075,http://farm5.static.flickr.com/4084/5031309962_1ef9615414_m.jpg,The South Bay, Silicon Valley Kink scene centered around Edges produces some of the most Fun and ornate Fetish Fashion,2010-09-26 11:53:23
37.775094,-122.410075,http://farm5.static.flickr.com/4087/5030684613_0649abe843_m.jpg,Les became my first Polyamourous Friend in 2007. I had a lot of questions for her. Folsom eve at #WickedGrounds.,2010-09-26 00:04:38
37.775094,-122.410075,http://farm5.static.flickr.com/4133/5030678907_f382bae2b5_m.jpg,Folsom eve at #WickedGrounds. Sean Anomie runs the forums at Kink.com,2010-09-25 23:21:14
37.775094,-122.410075,http://farm5.static.flickr.com/4154/5030568211_16ee31baab_m.jpg,Davina is a local Kink phenomenon. She has the knack for Social Media Publicity that creates stars,2010-09-25 23:00:41
37.775094,-122.410075,http://farm5.static.flickr.com/4146/5030554081_de8ca2a51f_m.jpg,People imagine Dominance/Submission relationships as pathological, when in fact it provides a Public Sphere for healing from a Mainstream Media that labels us all as Ugly and Undesirable.,2010-09-26 14:51:33
37.775094,-122.410075,http://farm5.static.flickr.com/4128/5030968026_dd5d7bce58_m.jpg,He identifies as transgender but cannot take testosterone for medical reasons.,2010-09-25 18:25:27
37.775094,-122.410075,http://farm5.static.flickr.com/4110/5030921782_4e9b3474c4_m.jpg,His crutches are integrated into his fetish Self Expression. The sartorial rules of Radical Self Expression empower you to resignify Maleness, Disabilities, Curves, To take control of the Statuary Messages you broadcast,2010-09-25 23:19:35
37.775094,-122.410075,http://farm5.static.flickr.com/4148/5028925770_2f799415d1_m.jpg,She has found an amazing way to tease us with her soft white bum. She shows less than many others, and it is a hundred times more erotic.,2010-09-26 14:48:13
37.775094,-122.410075,http://farm5.static.flickr.com/4130/5028206289_4e4a5a8b13_m.jpg,His eye makeup is very cute. He carried a flask of scotch and little cups to pour them in. Playa gifts in San Francisco,2010-09-26 15:18:02
37.775094,-122.410075,http://farm5.static.flickr.com/4083/5028129851_61883ff59d_m.jpg,I like the way wearing a nice cock pouch allows this Faery to show off his thighs and ass. Paradoxically, By showing your package as part of a nice outfit you feminize your penis.,2010-09-26 15:24:23
37.775094,-122.410075,http://farm5.static.flickr.com/4153/5028677690_b0496f2c98_m.jpg,Fetish latex designers create especially for curvy girls. I met this gorgeous creature last year at Folsom. She has a stunning hourglass figure,2010-09-26 15:33:10
37.77002,-122.445144,http://farm5.static.flickr.com/4118/4899037427_4fa9f78359_m.jpg,Bricolage Traveller Girl Street Fashion,2010-08-15 15:34:11
37.863199,-122.258949,http://farm5.static.flickr.com/4078/4859107090_f57b5f3f19_m.jpg,Reigniting the Enlightenment Project by Banishing the Superstition of Gender,2010-08-03 18:04:57
37.826599,-122.536182,http://farm5.static.flickr.com/4105/4845118212_b1189d75c7_m.jpg,Wooden Fort on the Marin Headlands, California,2010-07-28 19:43:36
37.774017,-122.4115,http://farm5.static.flickr.com/4154/4841188457_4987499881_m.jpg,Up Your Alley (13 of 13),2010-07-25 14:24:37
37.773669,-122.412785,http://farm5.static.flickr.com/4084/4841802862_9a9265200f_m.jpg,Up Your Alley (11 of 13),2010-07-25 13:47:39
37.77393,-122.412957,http://farm5.static.flickr.com/4146/4841802472_9dc10fa00a_m.jpg,Up Your Alley (10 of 13),2010-07-25 13:47:01
37.77406,-122.413136,http://farm5.static.flickr.com/4133/4841186611_137b627de2_m.jpg,Up Your Alley (9 of 13),2010-07-25 13:43:22
37.773945,-122.413114,http://farm5.static.flickr.com/4087/4841801692_a71284dc04_m.jpg,Up Your Alley (8 of 13),2010-07-25 13:35:59
37.77372,-122.412734,http://farm5.static.flickr.com/4132/4841184953_c58ac2534f_m.jpg,Latex Dominant & Submissive San Francisco's Sexual Roleplaying Counterpublic (5 of 13),2010-07-25 13:31:33
37.773678,-122.412686,http://farm5.static.flickr.com/4147/4841183947_6df1b3db0f_m.jpg,Up Your Alley (3 of 13),2010-07-25 13:30:09
